archivo,config,N,MAE,RMSE,max_abs_error,max_rel_error,Precision,Recall,F1Score,TP,FP,FN
GCA_006152045.1_ASM615204v1_genomic.fna,cfg0,3980036,0.676248,0.895584,77,77,0.0788732,1,0.146214,28,327,0
GCA_006152045.1_ASM615204v1_genomic.fna,cfg1,3980036,0.100015,0.37299,76,76,0.0797721,1,0.147757,28,323,0
GCA_006152045.1_ASM615204v1_genomic.fna,cfg2,3980036,0.0178805,0.236842,76,76,0.0797721,1,0.147757,28,323,0
GCA_006152045.1_ASM615204v1_genomic.fna,cfg3,3980036,0.01788,0.236841,76,76,0.0797721,1,0.147757,28,323,0
GCA_018421455.1_ASM1842145v1_genomic.fna,cfg0,3982388,0.674885,0.886678,35,35,0.376368,1,0.5469,344,570,0
GCA_018421455.1_ASM1842145v1_genomic.fna,cfg1,3982388,0.100128,0.355154,35,35,0.387824,1,0.558895,344,543,0
GCA_018421455.1_ASM1842145v1_genomic.fna,cfg2,3982388,0.0185966,0.209265,35,35,0.390465,1,0.561633,344,537,0
GCA_018421455.1_ASM1842145v1_genomic.fna,cfg3,3982388,0.0185958,0.209263,35,35,0.390465,1,0.561633,344,537,0
GCA_943334715.2_HRSG-H6-bin-64_genomic.fna,cfg0,2284665,0.172754,0.42018,12,12,0.0705882,1,0.131868,6,79,0
GCA_943334715.2_HRSG-H6-bin-64_genomic.fna,cfg1,2284665,0.0136224,0.127871,12,12,0.0722892,1,0.134831,6,77,0
GCA_943334715.2_HRSG-H6-bin-64_genomic.fna,cfg2,2284665,0.00694263,0.0981644,12,12,0.0740741,1,0.137931,6,75,0
GCA_943334715.2_HRSG-H6-bin-64_genomic.fna,cfg3,2284665,0.00694263,0.0981644,12,12,0.0740741,1,0.137931,6,75,0
GCA_943334795.2_HRSG-H6-bin-28_genomic.fna,cfg0,1302461,0.0253665,0.163853,12,12,0.286842,1,0.445808,109,271,0
GCA_943334795.2_HRSG-H6-bin-28_genomic.fna,cfg1,1302461,0.00409202,0.0742833,12,12,0.323442,1,0.488789,109,228,0
GCA_943334795.2_HRSG-H6-bin-28_genomic.fna,cfg2,1302461,0.00398061,0.0735296,12,12,0.323442,1,0.488789,109,228,0
GCA_943334795.2_HRSG-H6-bin-28_genomic.fna,cfg3,1302461,0.00398061,0.0735296,12,12,0.323442,1,0.488789,109,228,0
GCA_943329525.2_HRS-HS6-bin-101_genomic.fna,cfg0,958365,0.00595479,0.0777736,2,2,0.0520396,1,0.0989309,310,5647,0
GCA_943329525.2_HRS-HS6-bin-101_genomic.fna,cfg1,958365,0.00144147,0.039131,2,2,0.189602,1,0.318766,310,1325,0
GCA_943329525.2_HRS-HS6-bin-101_genomic.fna,cfg2,958365,0.00143729,0.0390776,2,2,0.190067,1,0.319423,310,1321,0
GCA_943329525.2_HRS-HS6-bin-101_genomic.fna,cfg3,958365,0.00143729,0.0390776,2,2,0.190067,1,0.319423,310,1321,0
GCA_943329805.2_HRSG-H13-bin-193_genomic.fna,cfg0,2277733,0.174591,0.454005,29,29,0.460581,1,0.630682,555,650,0
GCA_943329805.2_HRSG-H13-bin-193_genomic.fna,cfg1,2277733,0.0192254,0.222085,29,29,0.470738,1,0.640138,555,624,0
GCA_943329805.2_HRSG-H13-bin-193_genomic.fna,cfg2,2277733,0.0129616,0.207445,29,29,0.470738,1,0.640138,555,624,0
GCA_943329805.2_HRSG-H13-bin-193_genomic.fna,cfg3,2277733,0.0129616,0.207445,29,29,0.470738,1,0.640138,555,624,0
GCA_943331045.1_HRSG-E2-bin-118_genomic.fna,cfg0,1580689,0.0512355,0.226892,8,8,0.605263,1,0.754098,23,15,0
GCA_943331045.1_HRSG-E2-bin-118_genomic.fna,cfg1,1580689,0.00260764,0.0527242,7,7,0.638889,1,0.779661,23,13,0
GCA_943331045.1_HRSG-E2-bin-118_genomic.fna,cfg2,1580689,0.00205053,0.0471459,7,7,0.638889,1,0.779661,23,13,0
GCA_943331045.1_HRSG-E2-bin-118_genomic.fna,cfg3,1580689,0.00205053,0.0471459,7,7,0.638889,1,0.779661,23,13,0
GCA_945870955.1_MoE-23oct19-325_genomic.fna,cfg0,1942545,0.108767,0.404419,41,41,0.228758,1,0.37234,140,472,0
GCA_945870955.1_MoE-23oct19-325_genomic.fna,cfg1,1942545,0.00911808,0.251977,41,41,0.240964,1,0.38835,140,441,0
GCA_945870955.1_MoE-23oct19-325_genomic.fna,cfg2,1942545,0.00669226,0.2471,41,41,0.240964,1,0.38835,140,441,0
GCA_945870955.1_MoE-23oct19-325_genomic.fna,cfg3,1942545,0.00669226,0.2471,41,41,0.240964,1,0.38835,140,441,0
GCA_945872895.1_MaE-04nov19-161_genomic.fna,cfg0,1514500,0.0531368,0.234341,6,6,0.180952,1,0.306452,19,86,0
GCA_945872895.1_MaE-04nov19-161_genomic.fna,cfg1,1514500,0.0137003,0.123049,6,6,0.188119,1,0.316667,19,82,0
GCA_945872895.1_MaE-04nov19-161_genomic.fna,cfg2,1514500,0.013299,0.121375,6,6,0.188119,1,0.316667,19,82,0
GCA_945872895.1_MaE-04nov19-161_genomic.fna,cfg3,1514500,0.013299,0.121375,6,6,0.188119,1,0.316667,19,82,0
