archivo,config,N,MAE,RMSE,max_abs_error,max_rel_error,Precision,Recall,F1Score,TP,FP,FN
GCA_006152045.1_ASM615204v1_genomic.fna,cfg0,3316461,0.453926,0.724118,53,53,0.00188324,1,0.0037594,1,530,0
GCA_006152045.1_ASM615204v1_genomic.fna,cfg1,3316461,0.0585379,0.321262,52,52,0.00188324,1,0.0037594,1,530,0
GCA_006152045.1_ASM615204v1_genomic.fna,cfg2,3316461,0.0172442,0.247915,52,52,0.00190476,1,0.00380228,1,524,0
GCA_006152045.1_ASM615204v1_genomic.fna,cfg3,3316461,0.0172442,0.247915,52,52,0.00190476,1,0.00380228,1,524,0
GCA_018421455.1_ASM1842145v1_genomic.fna,cfg0,3318223,0.454088,0.717279,29,29,0.193969,1,0.324915,238,989,0
GCA_018421455.1_ASM1842145v1_genomic.fna,cfg1,3318223,0.0595127,0.308989,29,29,0.199497,1,0.332635,238,955,0
GCA_018421455.1_ASM1842145v1_genomic.fna,cfg2,3318223,0.0186584,0.232947,29,29,0.199664,1,0.332867,238,954,0
GCA_018421455.1_ASM1842145v1_genomic.fna,cfg3,3318223,0.0186584,0.232947,29,29,0.199664,1,0.332867,238,954,0
GCA_943334715.2_HRSG-H6-bin-64_genomic.fna,cfg0,1903784,0.101252,0.32338,11,11,0.271845,1,0.427481,56,150,0
GCA_943334715.2_HRSG-H6-bin-64_genomic.fna,cfg1,1903784,0.00827241,0.105612,11,11,0.278607,1,0.435798,56,145,0
GCA_943334715.2_HRSG-H6-bin-64_genomic.fna,cfg2,1903784,0.00616725,0.0950366,11,11,0.278607,1,0.435798,56,145,0
GCA_943334715.2_HRSG-H6-bin-64_genomic.fna,cfg3,1903784,0.00616725,0.0950366,11,11,0.278607,1,0.435798,56,145,0
GCA_943334795.2_HRSG-H6-bin-28_genomic.fna,cfg0,1084253,0.0124816,0.120394,9,9,0.175182,1,0.298137,48,226,0
GCA_943334795.2_HRSG-H6-bin-28_genomic.fna,cfg1,1084253,0.0037918,0.0759957,9,9,0.186047,1,0.313725,48,210,0
GCA_943334795.2_HRSG-H6-bin-28_genomic.fna,cfg2,1084253,0.00377058,0.0758559,9,9,0.186047,1,0.313725,48,210,0
GCA_943334795.2_HRSG-H6-bin-28_genomic.fna,cfg3,1084253,0.00377058,0.0758559,9,9,0.186047,1,0.313725,48,210,0
GCA_943329525.2_HRS-HS6-bin-101_genomic.fna,cfg0,797864,0.00285426,0.0545628,2,2,0.0462527,1,0.0884159,108,2227,0
GCA_943329525.2_HRS-HS6-bin-101_genomic.fna,cfg1,797864,0.00148166,0.0400562,2,2,0.0870968,1,0.160237,108,1132,0
GCA_943329525.2_HRS-HS6-bin-101_genomic.fna,cfg2,797864,0.0014804,0.0400406,2,2,0.0871671,1,0.160356,108,1131,0
GCA_943329525.2_HRS-HS6-bin-101_genomic.fna,cfg3,797864,0.0014804,0.0400406,2,2,0.0871671,1,0.160356,108,1131,0
GCA_943329805.2_HRSG-H13-bin-193_genomic.fna,cfg0,1897122,0.109454,0.413122,25,25,0.203032,1,0.337533,442,1735,0
GCA_943329805.2_HRSG-H13-bin-193_genomic.fna,cfg1,1897122,0.0183609,0.28081,25,25,0.209479,1,0.346395,442,1668,0
GCA_943329805.2_HRSG-H13-bin-193_genomic.fna,cfg2,1897122,0.0163458,0.277184,25,25,0.209479,1,0.346395,442,1668,0
GCA_943329805.2_HRSG-H13-bin-193_genomic.fna,cfg3,1897122,0.0163458,0.277184,25,25,0.209479,1,0.346395,442,1668,0
GCA_943331045.1_HRSG-E2-bin-118_genomic.fna,cfg0,1316363,0.0247845,0.158023,5,5,0.10596,1,0.191617,16,135,0
GCA_943331045.1_HRSG-E2-bin-118_genomic.fna,cfg1,1316363,0.00217701,0.048401,5,5,0.121212,1,0.216216,16,116,0
GCA_943331045.1_HRSG-E2-bin-118_genomic.fna,cfg2,1316363,0.00206227,0.0472008,5,5,0.121212,1,0.216216,16,116,0
GCA_943331045.1_HRSG-E2-bin-118_genomic.fna,cfg3,1316363,0.00206227,0.0472008,5,5,0.121212,1,0.216216,16,116,0
GCA_945870955.1_MoE-23oct19-325_genomic.fna,cfg0,1618601,0.0633776,0.406276,35,35,0.0786651,1,0.145856,66,773,0
GCA_945870955.1_MoE-23oct19-325_genomic.fna,cfg1,1618601,0.0105378,0.334613,35,35,0.0804878,1,0.148984,66,754,0
GCA_945870955.1_MoE-23oct19-325_genomic.fna,cfg2,1618601,0.00985951,0.333594,35,35,0.0804878,1,0.148984,66,754,0
GCA_945870955.1_MoE-23oct19-325_genomic.fna,cfg3,1618601,0.00985951,0.333594,35,35,0.0804878,1,0.148984,66,754,0
GCA_945872895.1_MaE-04nov19-161_genomic.fna,cfg0,1260958,0.0309247,0.18024,7,7,0.0208062,1,0.0407643,16,753,0
GCA_945872895.1_MaE-04nov19-161_genomic.fna,cfg1,1260958,0.0130794,0.120216,7,7,0.0264026,1,0.0514469,16,590,0
GCA_945872895.1_MaE-04nov19-161_genomic.fna,cfg2,1260958,0.0129983,0.119878,7,7,0.0264026,1,0.0514469,16,590,0
GCA_945872895.1_MaE-04nov19-161_genomic.fna,cfg3,1260958,0.0129983,0.119878,7,7,0.0264026,1,0.0514469,16,590,0
