archivo,d,w,size_bytes,MAE,MRE,Precision,Recall,F1
GCA_945872895.1_MaE-04nov19-161_genomic.fna,9,10000,720000,3.65106,3.64629,2.13835e-05,0.625,4.27655e-05
GCA_945872895.1_MaE-04nov19-161_genomic.fna,9,20000,1440000,2.57826,2.57495,2.45746e-05,0.625,4.91472e-05
GCA_945872895.1_MaE-04nov19-161_genomic.fna,9,50000,3600000,1.62078,1.61865,3.39606e-05,0.625,6.79175e-05
GCA_945872895.1_MaE-04nov19-161_genomic.fna,9,100000,7200000,1.12594,1.12446,5.80545e-05,0.6875,0.000116099
GCA_945872895.1_MaE-04nov19-161_genomic.fna,9,200000,14400000,0.771169,0.770126,0.000156222,0.875,0.000312388
GCA_945872895.1_MaE-04nov19-161_genomic.fna,9,500000,36000000,0.42376,0.423208,0.000961254,0.8125,0.00192024
GCA_945872895.1_MaE-04nov19-161_genomic.fna,9,1000000,72000000,0.199586,0.199306,0.00550863,0.9375,0.0109529
GCA_945872895.1_MaE-04nov19-161_genomic.fna,9,2000000,144000000,0.0567735,0.0566777,0.0160321,1,0.0315582
GCA_945872895.1_MaE-04nov19-161_genomic.fna,10,10000,800000,3.65215,3.64746,1.62743e-05,0.625,3.25477e-05
GCA_945872895.1_MaE-04nov19-161_genomic.fna,10,20000,1600000,2.58356,2.58022,2.38158e-05,0.8125,4.76301e-05
GCA_945872895.1_MaE-04nov19-161_genomic.fna,10,50000,4000000,1.62359,1.62149,2.67571e-05,0.6875,5.35121e-05
GCA_945872895.1_MaE-04nov19-161_genomic.fna,10,100000,8000000,1.12864,1.12717,3.96648e-05,0.6875,7.9325e-05
GCA_945872895.1_MaE-04nov19-161_genomic.fna,10,200000,16000000,0.774019,0.772986,0.000100788,0.875,0.000201553
GCA_945872895.1_MaE-04nov19-161_genomic.fna,10,500000,40000000,0.426192,0.425639,0.000678181,0.9375,0.00135538
GCA_945872895.1_MaE-04nov19-161_genomic.fna,10,1000000,80000000,0.20084,0.200571,0.00399102,1,0.00795031
GCA_945872895.1_MaE-04nov19-161_genomic.fna,10,2000000,160000000,0.0572752,0.057183,0.0127796,1,0.0252366
GCA_945872895.1_MaE-04nov19-161_genomic.fna,11,10000,880000,3.31414,3.30993,1.98892e-05,0.5625,3.9777e-05
GCA_945872895.1_MaE-04nov19-161_genomic.fna,11,20000,1760000,2.34546,2.34242,2.3263e-05,0.5625,4.65241e-05
GCA_945872895.1_MaE-04nov19-161_genomic.fna,11,50000,4400000,1.46932,1.46741,3.36775e-05,0.5625,6.73509e-05
GCA_945872895.1_MaE-04nov19-161_genomic.fna,11,100000,8800000,1.01883,1.0175,6.21782e-05,0.625,0.000124344
GCA_945872895.1_MaE-04nov19-161_genomic.fna,11,200000,17600000,0.694683,0.693736,0.000205776,0.875,0.000411456
GCA_945872895.1_MaE-04nov19-161_genomic.fna,11,500000,44000000,0.370511,0.370031,0.0015502,0.8125,0.0030945
GCA_945872895.1_MaE-04nov19-161_genomic.fna,11,1000000,88000000,0.15873,0.158496,0.0078125,1,0.0155039
GCA_945872895.1_MaE-04nov19-161_genomic.fna,11,2000000,176000000,0.0395277,0.0394519,0.0187573,1,0.0368239
GCA_945872895.1_MaE-04nov19-161_genomic.fna,15,10000,1200000,2.85281,2.84921,1.87714e-05,0.5,3.75413e-05
GCA_945872895.1_MaE-04nov19-161_genomic.fna,15,20000,2400000,2.01723,2.0146,2.55858e-05,0.5625,5.11692e-05
GCA_945872895.1_MaE-04nov19-161_genomic.fna,15,50000,6000000,1.26045,1.2588,4.03921e-05,0.5625,8.07783e-05
GCA_945872895.1_MaE-04nov19-161_genomic.fna,15,100000,12000000,0.870583,0.869446,8.40287e-05,0.625,0.000168035
GCA_945872895.1_MaE-04nov19-161_genomic.fna,15,200000,24000000,0.58797,0.587161,0.000321273,0.8125,0.000642292
GCA_945872895.1_MaE-04nov19-161_genomic.fna,15,500000,60000000,0.294462,0.294074,0.00339751,0.9375,0.00677048
GCA_945872895.1_MaE-04nov19-161_genomic.fna,15,1000000,120000000,0.104142,0.103991,0.0110117,1,0.0217835
GCA_945872895.1_MaE-04nov19-161_genomic.fna,15,2000000,240000000,0.0230611,0.0230092,0.0230548,1,0.0450704
GCA_945872895.1_MaE-04nov19-161_genomic.fna,20,10000,1600000,2.53209,2.52886,1.80406e-05,0.5625,3.608e-05
GCA_945872895.1_MaE-04nov19-161_genomic.fna,20,20000,3200000,1.7943,1.79199,3.17712e-05,0.8125,6.35399e-05
GCA_945872895.1_MaE-04nov19-161_genomic.fna,20,50000,8000000,1.12043,1.11898,5.16539e-05,0.8125,0.000103301
GCA_945872895.1_MaE-04nov19-161_genomic.fna,20,100000,16000000,0.772426,0.771417,7.93953e-05,0.625,0.00015877
GCA_945872895.1_MaE-04nov19-161_genomic.fna,20,200000,32000000,0.514982,0.514291,0.000435102,1,0.000869825
GCA_945872895.1_MaE-04nov19-161_genomic.fna,20,500000,80000000,0.240139,0.239809,0.00348172,0.875,0.00693584
GCA_945872895.1_MaE-04nov19-161_genomic.fna,20,1000000,160000000,0.0718518,0.0717291,0.0115108,1,0.0227596
GCA_945872895.1_MaE-04nov19-161_genomic.fna,20,2000000,320000000,0.0169921,0.0169489,0.024024,1,0.0469208
